;Dzien tygodnia;data;nowe przypadki;zgony;ozdrowieńcy;kwarantanna;wojewodztwo;testy
0;wtorek;2020-03-03;0;0.0;0.0;316;cały kraj;
1;środa;2020-03-04;1;0.0;0.0;349;cały kraj;
2;czwartek;2020-03-05;0;0.0;0.0;490;cały kraj;
3;piątek;2020-03-06;4;0.0;0.0;1299;cały kraj;
4;sobota;2020-03-07;1;0.0;0.0;1548;cały kraj;
5;niedziela;2020-03-08;5;0.0;0.0;932;cały kraj;
6;poniedziałek;2020-03-09;6;0.0;0.0;1014;cały kraj;
7;wtorek;2020-03-10;5;0.0;0.0;1055;cały kraj;
8;środa;2020-03-11;9;0.0;0.0;1193;cały kraj;
9;czwartek;2020-03-12;20;1.0;0.0;2736;cały kraj;
10;piątek;2020-03-13;17;1.0;0.0;3151;cały kraj;
11;sobota;2020-03-14;35;1.0;0.0;4413;cały kraj;
12;niedziela;2020-03-15;21;0.0;0.0;7535;cały kraj;
13;poniedziałek;2020-03-16;52;1.0;0.0;10050;cały kraj;
14;wtorek;2020-03-17;61;1.0;0.0;14531;cały kraj;
15;środa;2020-03-18;48;0.0;0.0;21993;cały kraj;
16;czwartek;2020-03-19;68;0.0;0.0;28440;cały kraj;
17;piątek;2020-03-20;70;0.0;0.0;47115;cały kraj;
18;sobota;2020-03-21;111;0.0;0.0;54814;cały kraj;
19;niedziela;2020-03-22;99;2.0;0.0;48632;cały kraj;
20;poniedziałek;2020-03-23;115;1.0;0.0;55301;cały kraj;
21;wtorek;2020-03-24;152;2.0;0.0;62511;cały kraj;
22;środa;2020-03-25;151;3.0;0.0;70528;cały kraj;
23;czwartek;2020-03-26;170;3.0;0.0;83908;cały kraj;
24;piątek;2020-03-27;168;0.0;0.0;94297;cały kraj;
25;sobota;2020-03-28;249;2.0;0.0;97413;cały kraj;
26;niedziela;2020-03-29;224;4.0;0.0;100215;cały kraj;
27;poniedziałek;2020-03-30;193;9.0;0.0;106525;cały kraj;
28;wtorek;2020-03-31;256;2.0;0.0;171994;cały kraj;
29;środa;2020-04-01;243;10.0;0.0;183095;cały kraj;
30;czwartek;2020-04-02;392;14.0;0.0;174997;cały kraj;
31;piątek;2020-04-03;437;14.0;116.0;160587;cały kraj;
32;sobota;2020-04-04;244;8.0;18.0;131888;cały kraj;
33;niedziela;2020-04-05;475;15.0;28.0;143256;cały kraj;
34;poniedziałek;2020-04-06;311;9.0;29.0;148130;cały kraj;
35;wtorek;2020-04-07;435;26.0;31.0;153390;cały kraj;
36;środa;2020-04-08;356;29.0;62.0;152898;cały kraj;
37;czwartek;2020-04-09;370;16.0;34.0;158663;cały kraj;
38;piątek;2020-04-10;380;7.0;57.0;166973;cały kraj;
39;sobota;2020-04-11;401;27.0;64.0;162974;cały kraj;
40;niedziela;2020-04-12;318;23.0;48.0;151548;cały kraj;
41;poniedziałek;2020-04-13;260;13.0;131.0;144875;cały kraj;
42;wtorek;2020-04-14;269;18.0;50.0;145875;cały kraj;
43;środa;2020-04-15;380;22.0;106.0;142220;cały kraj;
44;czwartek;2020-04-16;336;28.0;92.0;138004;cały kraj;
45;piątek;2020-04-17;461;18.0;115.0;118361;cały kraj;
46;sobota;2020-04-18;363;15.0;59.0;124311;cały kraj;
47;niedziela;2020-04-19;545;13.0;93.0;111079;cały kraj;
48;poniedziałek;2020-04-20;306;20.0;164.0;105602;cały kraj;
49;wtorek;2020-04-21;263;20.0;216.0;98020;cały kraj;
50;środa;2020-04-22;313;25.0;227.0;103129;cały kraj;
51;czwartek;2020-04-23;342;28.0;204.0;97905;cały kraj;
52;piątek;2020-04-24;381;40.0;182.0;87003;cały kraj;
53;sobota;2020-04-25;381;30.0;139.0;79656;cały kraj;
54;niedziela;2020-04-26;344;12.0;201.0;78878;cały kraj;
55;poniedziałek;2020-04-27;285;27.0;189.0;82643;cały kraj;
56;wtorek;2020-04-28;316;34.0;370.0;85837;cały kraj;
57;środa;2020-04-29;422;28.0;211.0;88265;cały kraj;
58;czwartek;2020-04-30;237;20.0;255.0;92458;cały kraj;
59;piątek;2020-05-01;228;7.0;271.0;95625;cały kraj;
60;sobota;2020-05-02;270;12.0;183.0;96612;cały kraj;
61;niedziela;2020-05-03;318;15.0;150.0;96699;cały kraj;
62;poniedziałek;2020-05-04;313;19.0;185.0;100765;cały kraj;
63;wtorek;2020-05-05;425;19.0;375.0;101395;cały kraj;
64;środa;2020-05-06;309;18.0;207.0;103913;cały kraj;
65;czwartek;2020-05-07;307;22.0;322.0;104024;cały kraj;
66;piątek;2020-05-08;319;20.0;253.0;102996;cały kraj;
67;sobota;2020-05-09;285;9.0;261.0;100784;cały kraj;
68;niedziela;2020-05-10;345;15.0;118.0;97002;cały kraj;
69;poniedziałek;2020-05-11;330;11.0;315.0;96211;cały kraj;
70;wtorek;2020-05-12;595;28.0;279.0;96062;cały kraj;
71;środa;2020-05-13;283;23.0;286.0;96708;cały kraj;
72;czwartek;2020-05-14;411;22.0;222.0;95068;cały kraj;
73;piątek;2020-05-15;401;24.0;257.0;90386;cały kraj;
74;sobota;2020-05-16;241;8.0;276.0;84542;cały kraj;
75;niedziela;2020-05-17;272;10.0;177.0;80947;cały kraj;
76;poniedziałek;2020-05-18;356;11.0;275.0;76645;cały kraj;
77;wtorek;2020-05-19;383;12.0;280.0;76957;cały kraj;
78;środa;2020-05-20;471;14.0;269.0;77461;cały kraj;
79;czwartek;2020-05-21;404;10.0;279.0;77768;cały kraj;
80;piątek;2020-05-22;476;10.0;246.0;80635;cały kraj;
81;sobota;2020-05-23;312;11.0;217.0;79326;cały kraj;
82;niedziela;2020-05-24;395;3.0;82.0;78259;cały kraj;
83;poniedziałek;2020-05-25;305;11.0;744.0;78864;cały kraj;
84;wtorek;2020-05-26;443;17.0;310.0;79007;cały kraj;
85;środa;2020-05-27;399;4.0;230.0;79818;cały kraj;
86;czwartek;2020-05-28;352;10.0;132.0;79995;cały kraj;
87;piątek;2020-05-29;330;13.0;324.0;80182;cały kraj;
88;sobota;2020-05-30;416;10.0;255.0;78823;cały kraj;
89;niedziela;2020-05-31;215;3.0;178.0;77406;cały kraj;
90;poniedziałek;2020-06-01;379;10.0;277.0;78470;cały kraj;
